id,lucsum,soilsum,vegsum,ADMIN,ADM0_A3,NAME,NAME_LONG,BRK_NAME,cstock,tot_H,tot_S
pota,8535.900004819036,1368520.128903866,2202778.470130295,Democratic Republic of the Congo,COD,Dem. Rep. Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,1.1,1089153.228135075,1177332.1044658883
pota,617.3000035136938,48409.65634924173,2219.76993079856,Namibia,NAM,Namibia,Namibia,Namibia,1.1,81038.2273894123,124170.10952213663
pota,40254.09979928285,2491969.017081082,682821.827692613,South Africa,ZAF,South Africa,South Africa,South Africa,1.1,114910.69947503517,148958.98191654222
pota,7467.799989841878,49402.04939271307,3305.115339553275,Libya,LBY,Libya,Libya,Libya,1.1,3653.5313746707757,7291.969362157302
pota,13872.40005236119,388657.992767062,88600.1989655383,Tunisia,TUN,Tunisia,Tunisia,Tunisia,1.1,45066.83825479637,60475.98845339521
pota,2153.200022652745,281943.6813998222,48421.20058057457,Zambia,ZMB,Zambia,Zambia,Zambia,1.1,198452.6281000747,270470.5656527862
pota,NA,NA,NA,Sierra Leone,SLE,Sierra Leone,Sierra Leone,Sierra Leone,1.1,343206.3722331556,393539.24273841426
pota,4390.500052586198,539428.1281986237,404105.3957357407,Guinea,GIN,Guinea,Guinea,Guinea,1.1,446073.84008131863,513648.25460261723
pota,NA,NA,NA,Liberia,LBR,Liberia,Liberia,Liberia,1.1,343206.3722331556,393539.24273841426
pota,263.3000066429377,35290.84490394592,25008.02973729372,Central African Republic,CAF,Central African Rep.,Central African Republic,Central African Rep.,1.1,467087.2404193041,540805.2966573057
pota,43.80000089854002,5179.175806045532,222.5191678702831,Sudan,SDN,Sudan,Sudan,Sudan,1.1,122986.78821004825,188022.0995088659
pota,NA,NA,NA,Djibouti,DJI,Djibouti,Djibouti,Djibouti,1.1,343206.3722331556,393539.24273841426
pota,45.80000033974648,2428.222455501556,145.3938283398747,Eritrea,ERI,Eritrea,Eritrea,Eritrea,1.1,56206.43233602004,85366.3087687469
pota,0.2000000029802322,25.84640884399414,9.890913963317871,Ivory Coast,CIV,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,1.1,295762.79206182377,366840.4153236685
pota,4065.400000788271,363319.6190928817,41987.95855010673,Mali,MLI,Mali,Mali,Mali,1.1,115757.78982579123,164910.58917206444
pota,647.200003258884,87371.55692434311,5468.771254226565,Senegal,SEN,Senegal,Senegal,Senegal,1.1,150698.98219286764,224948.60528683828
pota,191717.6992976516,18887754.56522274,15352813.57047012,Nigeria,NGA,Nigeria,Nigeria,Nigeria,1.1,379903.17876841046,434088.3950991374
pota,24.50000021606684,2615.87255191803,798.3167494535446,Benin,BEN,Benin,Benin,Benin,1.1,213315.42341330607,272039.09242827253
pota,61890.49989350885,7163212.905477524,5188684.828717075,Angola,AGO,Angola,Angola,Angola,1.1,409462.37676785036,473119.43406729936
pota,7.199999988079071,102.6802370548248,5.996748700737953,Botswana,BWA,Botswana,Botswana,Botswana,1.1,12093.281860445295,19936.911092897655
pota,2612.100014716387,199875.0031251907,31113.479421567172,Zimbabwe,ZWE,Zimbabwe,Zimbabwe,Zimbabwe,1.1,109783.71389642896,151869.1053820191
pota,2934.09998947382,221340.3624097946,34203.77187179608,Chad,TCD,Chad,Chad,Chad,1.1,107861.00005114023,149351.4740507051
pota,89125.20007495582,2304554.987576452,441908.2322718341,Algeria,DZA,Algeria,Algeria,Algeria,1.1,37849.75832277618,52071.38410427294
